DATE,AvgTemp
2015-01-11,46.0
2015-01-12,49.0
2015-01-13,49.0
2015-01-14,47.0
2015-01-15,48.0
2015-01-16,48.0
2015-01-17,48.0
2015-01-18,47.0
2015-01-19,48.0
2015-01-20,46.0
2015-01-21,49.0
2015-01-22,47.0
2015-01-23,54.0
2015-01-24,51.0
2015-01-25,48.0
2015-01-26,51.0
2015-01-27,47.0
2015-01-28,45.0
2015-01-29,45.0
2015-01-30,45.0
2015-01-31,43.0
2015-02-01,45.0
2015-02-02,46.0
2015-02-03,48.0
2015-02-04,45.0
2015-02-05,44.0
2015-02-06,40.0
2015-02-07,43.0
2015-02-08,51.0
2015-02-09,49.0
2015-02-10,43.0
2015-02-11,44.0
2015-02-12,45.0
2015-02-13,47.0
2015-02-14,48.0
2015-02-15,44.0
2015-02-16,45.0
2015-02-17,45.0
2015-02-18,45.0
2015-02-19,47.0
2015-02-20,47.0
2015-02-21,44.0
2015-02-22,44.0
2015-02-23,47.0
2015-02-24,48.0
2015-02-25,48.0
2015-02-26,42.0
2015-02-27,42.0
2015-02-28,40.0
2015-03-01,39.0
2015-03-02,38.0
2015-03-03,40.0
2015-03-04,36.0
2015-03-05,41.0
2015-03-06,42.0
2015-03-07,46.0
2015-03-08,39.0
2015-03-09,35.0
2015-03-10,38.0
2015-03-11,34.0
2015-03-12,36.0
2015-03-13,36.0
2015-03-14,39.0
2015-03-15,42.0
2015-03-16,45.0
2015-03-17,47.0
2015-03-18,47.0
2015-03-19,50.0
2015-03-20,50.0
2015-03-21,51.0
2015-03-22,47.0
2015-03-23,48.0
2015-03-24,46.0
2015-03-25,46.0
2015-03-26,47.0
2015-03-27,49.0
2015-03-28,50.0
2015-03-29,48.0
2015-03-30,45.0
2015-03-31,41.0
2015-04-01,41.0
2015-04-02,40.0
2015-04-03,43.0
2015-04-04,45.0
2015-04-05,44.0
2015-04-06,44.0
2015-04-07,40.0
2015-04-08,43.0
2015-04-09,43.0
2015-04-10,42.0
2015-04-11,42.0
2015-04-12,41.0
2015-04-13,45.0
2015-04-14,46.0
2015-04-15,43.0
2015-04-16,41.0
2015-04-17,42.0
2015-04-18,45.0
2015-04-19,49.0
2015-04-20,50.0
2015-04-21,53.0
2015-04-22,50.0
2015-04-23,48.0
2015-04-24,51.0
2015-04-25,50.0
2015-04-26,48.0
2015-04-27,46.0
2015-04-28,44.0
2015-04-29,48.0
2015-04-30,47.0
2015-05-01,45.0
2015-05-02,43.0
2015-05-03,43.0
2015-05-04,48.0
2015-05-05,51.0
2015-05-06,53.0
2015-05-07,50.0
2015-05-08,49.0
2015-05-09,46.0
2015-05-10,44.0
2015-05-11,46.0
2015-05-12,44.0
2015-05-13,39.0
2015-05-14,40.0
2015-05-15,42.0
2015-05-16,45.0
2015-05-17,49.0
2015-05-18,48.0
2015-05-19,47.0
2015-05-20,47.0
2015-05-21,46.0
2015-05-22,49.0
2015-05-23,48.0
2015-05-24,49.0
2015-05-25,52.0
2015-05-26,54.0
2015-05-27,51.0
2015-05-28,52.0
2015-05-29,53.0
2015-05-30,48.0
2015-05-31,46.0
2015-06-01,46.0
2015-06-02,49.0
2015-06-03,48.0
2015-06-04,47.0
2015-06-05,45.0
2015-06-06,46.0
2015-06-07,47.0
2015-06-08,47.0
2015-06-09,46.0
2015-06-10,43.0
2015-06-11,40.0
2015-06-12,41.0
2015-06-13,46.0
2015-06-14,50.0
2015-06-15,52.0
2015-06-16,55.0
2015-06-17,56.0
2015-06-18,56.0
2015-06-19,52.0
2015-06-20,52.0
2015-06-21,53.0
2015-06-22,52.0
2015-06-23,56.0
2015-06-24,51.0
2015-06-25,51.0
2015-06-26,50.0
2015-06-27,47.0
2015-06-28,49.0
2015-06-29,48.0
2015-06-30,48.0
2015-07-01,46.0
2015-07-02,46.0
2015-07-03,47.0
2015-07-04,48.0
2015-07-05,50.0
2015-07-06,52.0
2015-07-07,47.0
2015-07-08,47.0
2015-07-09,47.0
2015-07-10,48.0
2015-07-11,53.0
2015-07-12,52.0
2015-07-13,51.0
2015-07-14,53.0
2015-07-15,55.0
2015-07-16,51.0
2015-07-17,48.0
2015-07-18,48.0
2015-07-19,50.0
2015-07-20,46.0
2015-07-21,43.0
2015-07-22,45.0
2015-07-23,49.0
2015-07-24,51.0
2015-07-25,51.0
2015-07-26,50.0
2015-07-27,50.0
2015-07-28,48.0
2015-07-29,54.0
2015-07-30,56.0
2015-07-31,54.0
2015-08-01,56.0
2015-08-02,49.0
2015-08-03,48.0
2015-08-04,47.0
2015-08-05,50.0
2015-08-06,48.0
2015-08-07,50.0
2015-08-08,54.0
2015-08-09,53.0
2015-08-10,50.0
2015-08-11,47.0
2015-08-12,48.0
2015-08-13,48.0
2015-08-14,50.0
2015-08-15,47.0
2015-08-16,47.0
2015-08-17,48.0
2015-08-18,46.0
2015-08-19,46.0
2015-08-20,45.0
2015-08-21,54.0
2015-08-22,53.0
2015-08-23,51.0
2015-08-24,46.0
2015-08-25,47.0
2015-08-26,49.0
2015-08-27,49.0
2015-08-28,51.0
2015-08-29,51.0
2015-08-30,49.0
2015-08-31,48.0
2015-09-01,51.0
2015-09-02,48.0
2015-09-03,47.0
2015-09-04,47.0
2015-09-05,47.0
2015-09-06,48.0
2015-09-07,48.0
2015-09-08,50.0
2015-09-09,53.0
2015-09-10,49.0
2015-09-11,51.0
2015-09-12,49.0
2015-09-13,53.0
2015-09-14,52.0
2015-09-15,49.0
2015-09-16,47.0
2015-09-17,46.0
2015-09-18,46.0
2015-09-19,47.0
2015-09-20,50.0
2015-09-21,49.0
2015-09-22,47.0
2015-09-23,46.0
2015-09-24,47.0
2015-09-25,47.0
2015-09-26,48.0
2015-09-27,47.0
2015-09-28,46.0
2015-09-29,45.0
2015-09-30,50.0
2015-10-01,48.0
2015-10-02,48.0
2015-10-03,53.0
2015-10-04,51.0
2015-10-05,50.0
2015-10-06,47.0
2015-10-07,52.0
2015-10-08,51.0
2015-10-09,49.0
2015-10-10,49.0
2015-10-11,52.0
2015-10-12,49.0
2015-10-13,48.0
2015-10-14,48.0
2015-10-15,47.0
2015-10-16,51.0
2015-10-17,48.0
2015-10-18,49.0
2015-10-19,50.0
2015-10-20,49.0
2015-10-21,48.0
2015-10-22,48.0
2015-10-23,47.0
2015-10-24,50.0
2015-10-25,53.0
2015-10-26,54.0
2015-10-27,53.0
2015-10-28,51.0
2015-10-29,46.0
2015-10-30,48.0
2015-10-31,52.0
2015-11-01,49.0
2015-11-02,50.0
2015-11-03,50.0
2015-11-04,50.0
2015-11-05,50.0
2015-11-06,50.0
2015-11-07,51.0
2015-11-08,49.0
2015-11-09,45.0
2015-11-10,43.0
2015-11-11,45.0
2015-11-12,44.0
2015-11-13,43.0
2015-11-14,44.0
2015-11-15,44.0
2015-11-16,44.0
2015-11-17,47.0
2015-11-18,45.0
2015-11-19,50.0
2015-11-20,47.0
2015-11-21,47.0
2015-11-22,50.0
2015-11-23,49.0
2015-11-24,48.0
2015-11-25,47.0
2015-11-26,48.0
2015-11-27,50.0
2015-11-28,47.0
2015-11-29,49.0
2015-11-30,52.0
2015-12-01,52.0
2015-12-02,51.0
2015-12-03,50.0
2015-12-04,49.0
2015-12-05,49.0
2015-12-06,51.0
2015-12-07,54.0
2015-12-08,52.0
2015-12-09,49.0
2015-12-10,47.0
2015-12-11,48.0
2015-12-12,47.0
2015-12-13,44.0
2015-12-14,45.0
2015-12-15,41.0
2015-12-16,44.0
2015-12-17,46.0
2015-12-18,46.0
2015-12-19,40.0
2015-12-20,42.0
2015-12-21,41.0
2015-12-22,43.0
2015-12-23,40.0
2015-12-24,41.0
2015-12-25,42.0
2015-12-26,42.0
2015-12-27,43.0
2015-12-28,40.0
2015-12-29,40.0
2015-12-30,44.0
2015-12-31,48.0
2016-01-01,48.0
2016-01-02,45.0
2016-01-03,47.0
2016-01-04,45.0
2016-01-05,43.0
2016-01-06,46.0
2016-01-07,48.0
2016-01-08,46.0
2016-01-09,47.0
2016-01-10,46.0
2016-01-11,47.0
2016-01-12,47.0
2016-01-13,48.0
2016-01-14,50.0
2016-01-15,48.0
2016-01-16,46.0
2016-01-17,47.0
2016-01-18,48.0
2016-01-19,50.0
2016-01-20,50.0
2016-01-21,50.0
2016-01-22,50.0
2016-01-23,49.0
2016-01-24,47.0
2016-01-25,45.0
2016-01-26,49.0
2016-01-27,48.0
2016-01-28,53.0
2016-01-29,57.0
2016-01-30,54.0
2016-01-31,50.0
2016-02-01,45.0
2016-02-02,45.0
2016-02-03,47.0
2016-02-04,49.0
2016-02-05,48.0
2016-02-06,47.0
2016-02-07,40.0
2016-02-08,42.0
2016-02-09,45.0
2016-02-10,45.0
2016-02-11,46.0
2016-02-12,50.0
2016-02-13,52.0
2016-02-14,51.0
2016-02-15,48.0
2016-02-16,48.0
2016-02-17,51.0
2016-02-18,48.0
2016-02-19,47.0
2016-02-20,48.0
2016-02-21,50.0
2016-02-22,52.0
2016-02-23,54.0
2016-02-24,54.0
2016-02-25,46.0
2016-02-26,45.0
2016-02-27,48.0
2016-02-28,46.0
2016-02-29,49.0
2016-03-01,50.0
2016-03-02,50.0
2016-03-03,51.0
2016-03-04,50.0
2016-03-05,48.0
2016-03-06,49.0
2016-03-07,49.0
2016-03-08,55.0
2016-03-09,50.0
2016-03-10,47.0
2016-03-11,44.0
2016-03-12,45.0
2016-03-13,46.0
2016-03-14,47.0
2016-03-15,44.0
2016-03-16,45.0
2016-03-17,45.0
2016-03-18,44.0
2016-03-19,46.0
2016-03-20,46.0
2016-03-21,46.0
2016-03-22,44.0
2016-03-23,40.0
2016-03-24,40.0
2016-03-25,41.0
2016-03-26,42.0
2016-03-27,47.0
2016-03-28,51.0
2016-03-29,52.0
2016-03-30,51.0
2016-03-31,52.0
2016-04-01,50.0
2016-04-02,50.0
2016-04-03,52.0
2016-04-04,54.0
2016-04-05,53.0
2016-04-06,50.0
2016-04-07,48.0
2016-04-08,46.0
2016-04-09,48.0
2016-04-10,47.0
2016-04-11,51.0
2016-04-12,50.0
2016-04-13,49.0
2016-04-14,49.0
2016-04-15,45.0
2016-04-16,44.0
2016-04-17,45.0
2016-04-18,48.0
2016-04-19,46.0
2016-04-20,
2016-04-21,50.0
2016-04-22,50.0
2016-04-23,50.0
2016-04-24,51.0
2016-04-25,48.0
2016-04-26,50.0
2016-04-27,51.0
2016-04-28,50.0
2016-04-29,53.0
2016-04-30,48.0
2016-05-01,49.0
2016-05-02,54.0
2016-05-03,52.0
2016-05-04,55.0
2016-05-05,51.0
2016-05-06,49.0
2016-05-07,47.0
2016-05-08,47.0
2016-05-09,44.0
2016-05-10,43.0
2016-05-11,45.0
2016-05-12,45.0
2016-05-13,44.0
2016-05-14,50.0
2016-05-15,52.0
2016-05-16,52.0
2016-05-17,52.0
2016-05-18,51.0
2016-05-19,51.0
2016-05-20,49.0
2016-05-21,49.0
2016-05-22,47.0
2016-05-23,44.0
2016-05-24,42.0
2016-05-25,43.0
2016-05-26,44.0
2016-05-27,44.0
2016-05-28,45.0
2016-05-29,46.0
2016-05-30,47.0
2016-05-31,49.0
2016-06-01,48.0
2016-06-02,49.0
2016-06-03,49.0
2016-06-04,52.0
2016-06-05,52.0
2016-06-06,51.0
2016-06-07,52.0
2016-06-08,52.0
2016-06-09,53.0
2016-06-10,53.0
2016-06-11,47.0
2016-06-12,49.0
2016-06-13,49.0
2016-06-14,48.0
2016-06-15,48.0
2016-06-16,52.0
2016-06-17,53.0
2016-06-18,51.0
2016-06-19,51.0
2016-06-20,49.0
2016-06-21,48.0
2016-06-22,48.0
2016-06-23,49.0
2016-06-24,50.0
2016-06-25,50.0
2016-06-26,48.0
2016-06-27,45.0
2016-06-28,46.0
2016-06-29,46.0
2016-06-30,51.0
2016-07-01,48.0
2016-07-02,53.0
2016-07-03,56.0
2016-07-04,51.0
